,Rainfall (in),Runoff (in)
1/1/2008,0,0
2/1/2008,0,0
3/1/2008,0,0
4/1/2008,0,0
5/1/2008,0,0
6/1/2008,0,0
7/1/2008,0,0
8/1/2008,0.1,0
9/1/2008,0,0
10/1/2008,0,0
11/1/2008,0,0
12/1/2008,0,0
13/1/2008,0,0
14/1/2008,0,0
15/1/2008,0,0
16/1/2008,0,0
17/1/2008,0,0
18/1/2008,0.15,0
19/1/2008,0,0
20/1/2008,0,0
21/1/2008,0.21,0
22/1/2008,0.02,0
23/1/2008,0.2,0
24/1/2008,0.08,0
25/1/2008,0.1,0
26/1/2008,0,0
27/1/2008,0.01,0
28/1/2008,0,0
29/1/2008,0,0
30/1/2008,0,0
31/1/2008,0.3,0
1/2/2008,0,0
2/2/2008,0,0
3/2/2008,0,0
4/2/2008,0,0
5/2/2008,0.2,0
6/2/2008,0,0
7/2/2008,0,0
8/2/2008,0,0
9/2/2008,0,0
10/2/2008,0,0
11/2/2008,0,0
12/2/2008,0.45,0
13/2/2008,0,0
14/2/2008,0,0
15/2/2008,0.01,0
16/2/2008,0.56,0.0034
17/2/2008,0.01,0
18/2/2008,0,0
19/2/2008,0,0
20/2/2008,0,0
21/2/2008,0.06,0
22/2/2008,0,0
23/2/2008,0.01,0
24/2/2008,0,0
25/2/2008,0,0
26/2/2008,0,0
27/2/2008,0,0
28/2/2008,0,0
29/2/2008,0.08,0
1/3/2008,0,0
2/3/2008,0.09,0
3/3/2008,0.82,0.0048
4/3/2008,0,0
5/3/2008,0,0
6/3/2008,0.78,0.1135
7/3/2008,0.05,0.0012
8/3/2008,0,0
9/3/2008,0,0
10/3/2008,0.89,0.167
11/3/2008,0.01,0
12/3/2008,0,0
13/3/2008,0,0
14/3/2008,0,0
15/3/2008,0,0
16/3/2008,0,0
17/3/2008,0,0
18/3/2008,1.26,0.1645
19/3/2008,0.16,0.134
20/3/2008,0,0
21/3/2008,0,0
22/3/2008,0,0
23/3/2008,0,0
24/3/2008,0,0
25/3/2008,0,0
26/3/2008,0,0
27/3/2008,0,0
28/3/2008,0,0
29/3/2008,0.12,0
30/3/2008,0,0
31/3/2008,0,0
1/4/2008,0,0
2/4/2008,0,0
3/4/2008,0,0
4/4/2008,0.21,0
5/4/2008,0,0
6/4/2008,0,0
7/4/2008,0,0
8/4/2008,0,0
9/4/2008,0,0
10/4/2008,1.12,0.0468
11/4/2008,0,0
12/4/2008,0,0
13/4/2008,0,0
14/4/2008,0,0
15/4/2008,0,0
16/4/2008,0,0
17/4/2008,0.96,0.053
18/4/2008,0.01,0.0165
19/4/2008,0,0
20/4/2008,0,0
21/4/2008,0,0
22/4/2008,0,0
23/4/2008,0.37,0
24/4/2008,0.01,0
25/4/2008,0.12,0
26/4/2008,0.01,0
27/4/2008,0.2,0
28/4/2008,0,0
29/4/2008,0,0
30/4/2008,0,0
1/5/2008,0,0
2/5/2008,0.03,0
3/5/2008,0,0
4/5/2008,0,0
5/5/2008,0.28,0
6/5/2008,0,0
7/5/2008,0.45,0
8/5/2008,0,0
9/5/2008,0,0
10/5/2008,0,0
11/5/2008,0,0
12/5/2008,0,0
13/5/2008,0.45,0
14/5/2008,2.48,0.8691
15/5/2008,0,0.0223
16/5/2008,0,0
17/5/2008,0,0
18/5/2008,0,0
19/5/2008,0,0
20/5/2008,0,0
21/5/2008,0,0
22/5/2008,0,0
23/5/2008,0,0
24/5/2008,0,0
25/5/2008,0,0
26/5/2008,0.01,0
27/5/2008,0.56,0
28/5/2008,0,0
29/5/2008,0,0
30/5/2008,0,0
31/5/2008,0,0
1/6/2008,0,0
2/6/2008,0,0
3/6/2008,0,0
4/6/2008,0,0
5/6/2008,0,0
6/6/2008,0.09,0
7/6/2008,0,0
8/6/2008,0,0
9/6/2008,0,0
10/6/2008,0,0
11/6/2008,0,0
12/6/2008,0,0
13/6/2008,0,0
14/6/2008,0,0
15/6/2008,0,0
16/6/2008,0,0
17/6/2008,0,0
18/6/2008,0,0
19/6/2008,0.03,0
20/6/2008,0,0
21/6/2008,0,0
22/6/2008,0,0
23/6/2008,0,0
24/6/2008,0,0
25/6/2008,0,0
26/6/2008,0,0
27/6/2008,0,0
28/6/2008,0,0
29/6/2008,0.04,0
30/6/2008,0,0
1/7/2008,0,0
2/7/2008,0,0
3/7/2008,0,0
4/7/2008,0,0
5/7/2008,0,0
6/7/2008,0,0
7/7/2008,0,0
8/7/2008,0.2,0
9/7/2008,0.01,0
10/7/2008,0,0
11/7/2008,0,0
12/7/2008,0,0
13/7/2008,0,0
14/7/2008,0,0
15/7/2008,0.32,0
16/7/2008,0,0
17/7/2008,0.01,0
18/7/2008,0,0
19/7/2008,0,0
20/7/2008,0,0
21/7/2008,0,0
22/7/2008,0,0
23/7/2008,0,0
24/7/2008,0,0
25/7/2008,0,0
26/7/2008,0,0
27/7/2008,0,0
28/7/2008,0,0
29/7/2008,0,0
30/7/2008,0,0
31/7/2008,0,0
1/8/2008,0,0
2/8/2008,0,0
3/8/2008,0.04,0
4/8/2008,0,0
5/8/2008,0.4,0
6/8/2008,0.11,0
7/8/2008,0,0
8/8/2008,0,0
9/8/2008,0,0
10/8/2008,0,0
11/8/2008,0.27,0
12/8/2008,1.33,0
13/8/2008,0,0
14/8/2008,0,0
15/8/2008,0,0
16/8/2008,0,0
17/8/2008,0,0
18/8/2008,1.24,0
19/8/2008,1.16,0
20/8/2008,0.01,0
21/8/2008,0,0
22/8/2008,0,0
23/8/2008,0.22,0
24/8/2008,0,0
25/8/2008,0,0
26/8/2008,0,0
27/8/2008,0,0
28/8/2008,0,0
29/8/2008,0,0
30/8/2008,0,0
31/8/2008,0,0
1/9/2008,0,0
2/9/2008,0,0
3/9/2008,0,0
4/9/2008,0,0
5/9/2008,0,0
6/9/2008,0,0
7/9/2008,0,0
8/9/2008,0.24,0
9/9/2008,0.29,0
10/9/2008,0,0
11/9/2008,0,0
12/9/2008,0,0
13/9/2008,0.35,0
14/9/2008,0,0
15/9/2008,0,0
16/9/2008,0,0
17/9/2008,0,0
18/9/2008,0,0
19/9/2008,0,0
20/9/2008,0,0
21/9/2008,0,0
22/9/2008,0,0
23/9/2008,0,0
24/9/2008,0,0
25/9/2008,0,0
26/9/2008,0,0
27/9/2008,0,0
28/9/2008,0,0
29/9/2008,0,0
30/9/2008,0,0
1/10/2008,0,0
2/10/2008,0,0
3/10/2008,0,0
4/10/2008,0,0
5/10/2008,0,0
6/10/2008,1.16,0
7/10/2008,0.08,0
8/10/2008,0,0
9/10/2008,0,0
10/10/2008,0,0
11/10/2008,0,0
12/10/2008,0,0
13/10/2008,0,0
14/10/2008,0.1,0
15/10/2008,0.15,0
16/10/2008,0.03,0
17/10/2008,0,0
18/10/2008,0,0
19/10/2008,0,0
20/10/2008,0,0
21/10/2008,0,0
22/10/2008,0,0
23/10/2008,0,0
24/10/2008,0,0
25/10/2008,0,0
26/10/2008,0,0
27/10/2008,0,0
28/10/2008,0,0
